,roadwork_id,loaddatetimeutc,road,type,roadwork_from,roadwork_to,roadwork_label,roadwork_reason,roadwork_start,roadwork_stop,radar_codedirection,roadwork_fromloc_lat,roadwork_fromloc_lon,roadwork_toloc_lat,roadwork_toloc_lon,roadwork_segmentid,segmentstart,segmentend,roadwork_afrc,roadwork_category,roadwork_type
3410,266640973.0,2021-03-24 03:59:00,A6,a,Almere-Buiten,Almere Stad,,Uitgebreide wegwerkzaamheden. Van 23 maart 2021 23:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 22:00:00,2021-03-24 04:00:00,0.0,52.372,5.28698,52.35424,5.25384,3370.0,Lelystad,Muiden,0.0,roadworks,a
3411,266581496.0,2021-03-24 03:59:00,A6,a,Bant,Bant,closed,De op- en afrit is dicht. Van 23 maart 2021 23:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 22:00:00,2021-03-24 04:00:00,0.0,52.76529,5.76398,52.76529,5.76398,3372.0,Joure,Emmeloord,0.0,roadworks,a
3412,266581455.0,2021-03-24 03:59:00,A6,a,Emmeloord-West,Emmeloord-West,closed,Oprit dicht. Van 23 maart 2021 23:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 22:00:00,2021-03-24 04:00:00,1.0,52.68337,5.74198,52.68337,5.74198,3371.0,Lelystad,Emmeloord,0.0,roadworks,a
3413,266581104.0,2021-03-24 03:59:00,A2,a,Gronsveld,Gronsveld,closed,Oprit dicht. Van 23 maart 2021 20:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 19:00:00,2021-03-24 04:00:00,0.0,50.81477,5.72186,50.81477,5.72186,3101.0,Maastricht,Belgische grens,0.0,roadworks,a
3414,266581339.0,2021-03-24 03:59:00,A4,a,Leidschendam,Leidschendam,closed,De op- en afrit is dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,0.0,52.07356,4.39532,52.07356,4.39532,3300.0,Amsterdam,Den Haag,0.0,roadworks,a
3415,266641047.0,2021-03-24 03:59:00,A7,a,Hoorn,Hoorn,closed,Oprit dicht. Van 23 maart 2021 23:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 22:00:00,2021-03-24 04:00:00,0.0,52.64899,5.03578,52.64899,5.03578,3400.0,Hoorn,Zaanstad,0.0,roadworks,a
3416,266642370.0,2021-03-24 03:59:00,A15,a,Rozenburg,afrit Brielle,closed,De op- en afrit is dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,0.0,51.90004,4.23498,51.90279,4.21244,3059.0,Rotterdam,Europoort,0.0,roadworks,a
3417,266641784.0,2021-03-24 03:59:00,A12,a,Zevenaar,Zevenaar,closed,Oprit dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,1.0,51.94224,6.08251,51.94224,6.08251,3022.0,Arnhem,Duitse grens,0.0,roadworks,a
3418,266582325.0,2021-03-24 03:59:00,A12,a,afrit Beek,afrit Beek,closed,De op- en afrit is dicht. Van 23 maart 2021 21:00 uur tot 24 maart 2021 05:00 uur.,2021-03-23 20:00:00,2021-03-24 04:00:00,1.0,51.90781,6.15371,51.90781,6.15371,3022.0,Arnhem,Duitse grens,0.0,roadworks,a
3419,266534397.0,2021-03-24 03:59:00,A10,a,Durgerdam,de Zeeburgertunnel,closed,Dicht. Van 23 maart 2021 20:30 uur tot 24 maart 2021 05:00 uur.,2021-03-23 19:30:00,2021-03-24 04:00:00,1.0,52.38961,4.96719,52.37758,4.97393,3015.0,knp. Coenplein,knp. Watergraafsmeer,0.0,roadworks,a
3420,266642626.0,2021-03-24 03:59:00,A30,a,Lunteren,Lunteren,closed,Oprit dicht. Van 24 maart 2021 05:00 uur tot 24 maart 2021 05:00 uur.,2021-03-24 04:00:00,2021-03-24 04:00:00,1.0,52.08725,5.59641,52.08725,5.59641,3220.0,Ede,Barneveld,0.0,roadworks,a
3421,266582425.0,2021-03-24 04:30:00,A15,a,knp. Valburg,Dodewaard,closed,Dicht. Van 22 maart 2021 tot 24 maart 2021 dagelijks tussen 19:30 uur en 05:30 uur.,2021-03-22 18:30:00,2021-03-24 04:30:00,0.0,51.90825,5.76781,51.92058,5.64615,3057.0,Nijmegen,Gorinchem,0.0,roadworks,a
3422,2667152610.0,2021-03-24 23:29:00,A1,a,Voorthuizen,Voorthuizen,closed,Oprit dicht. Van 24 maart 2021 20:30 uur tot 25 maart 2021 00:30 uur.,2021-03-24 19:30:00,2021-03-24 23:30:00,2.0,52.16876,5.59499,52.16876,5.59499,3001.0,Apeldoorn,Amersfoort,0.0,roadworks,a
3423,2666407160.0,2021-03-24 23:29:00,A1,a,Barneveld,Barneveld,closed,De op- en afrit is dicht. Van 24 maart 2021 20:30 uur tot 25 maart 2021 00:30 uur.,2021-03-24 19:30:00,2021-03-24 23:30:00,2.0,52.16757,5.56571,52.16757,5.56571,3001.0,Apeldoorn,Amersfoort,0.0,roadworks,a
3424,266715261.0,2021-03-24 23:29:00,A1,a,Voorthuizen,Voorthuizen,closed,Oprit dicht. Van 24 maart 2021 20:30 uur tot 25 maart 2021 00:30 uur.,2021-03-24 19:30:00,2021-03-24 23:30:00,2.0,52.16876,5.59499,52.16876,5.59499,3001.0,Amersfoort,Apeldoorn,0.0,roadworks,a
3425,266640716.0,2021-03-24 23:29:00,A1,a,Barneveld,Barneveld,closed,De op- en afrit is dicht. Van 24 maart 2021 20:30 uur tot 25 maart 2021 00:30 uur.,2021-03-24 19:30:00,2021-03-24 23:30:00,2.0,52.16757,5.56571,52.16757,5.56571,3001.0,Amersfoort,Apeldoorn,0.0,roadworks,a
3426,266640713.0,2021-03-25 00:59:00,A58,a,Ulvenhout,Ulvenhout,closed,Oprit dicht. Van 24 maart 2021 23:00 uur tot 25 maart 2021 02:00 uur.,2021-03-24 22:00:00,2021-03-25 01:00:00,0.0,51.53705,4.79833,51.53705,4.79833,3354.0,Tilburg,Breda,0.0,roadworks,a
3427,266715476.0,2021-03-25 00:59:00,A1,a,afrit Voorst,afrit Voorst,closed,Afrit dicht. Van 24 maart 2021 23:00 uur tot 25 maart 2021 02:00 uur.,2021-03-24 22:00:00,2021-03-25 01:00:00,1.0,52.19796,6.04764,52.19796,6.04764,3002.0,Apeldoorn,Hengelo,0.0,roadworks,a
3428,266642561.0,2021-03-25 02:59:00,A28,a,Amersfoort-Vathorst,knp. Hoevelaken,closed,Dicht. Van 24 maart 2021 21:35 uur tot 25 maart 2021 04:00 uur.,2021-03-24 20:35:00,2021-03-25 03:00:00,0.0,52.21074,5.44369,52.17581,5.42832,3191.0,Zwolle,Amersfoort,0.0,roadworks,a
3429,266715365.0,2021-03-25 02:59:00,A58,a,Ulvenhout,Ulvenhout,closed,De oprit is dicht. Van 25 maart 2021 01:00 uur tot 25 maart 2021 04:00 uur.,2021-03-25 00:00:00,2021-03-25 03:00:00,1.0,51.53705,4.79833,51.53705,4.79833,3354.0,Breda,Tilburg,0.0,roadworks,a
3430,266641046.0,2021-03-25 03:59:00,A7,a,afrit Avenhorn,afrit Avenhorn,closed,De op- en afrit is dicht. Van 24 maart 2021 23:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 22:00:00,2021-03-25 04:00:00,0.0,52.62816,5.00587,52.62816,5.00587,3400.0,Hoorn,Zaanstad,0.0,roadworks,a
3431,266717976.0,2021-03-25 03:59:00,A7,a,Hoorn,Hoorn,closed,Oprit dicht. Van 24 maart 2021 23:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 22:00:00,2021-03-25 04:00:00,0.0,52.64899,5.03578,52.64899,5.03578,3400.0,Hoorn,Zaanstad,0.0,roadworks,a
3432,266582145.0,2021-03-25 03:59:00,A10,a,Amsterdam-Oud Zuid,Amsterdam-Oud Zuid,closed,De oprit is dicht. Van 23 maart 2021 tot 25 maart 2021 dagelijks tussen 21:00 uur en 05:00 uur.,2021-03-23 20:00:00,2021-03-25 04:00:00,0.0,52.33856,4.86286,52.33856,4.86286,3017.0,knp. De Nieuwe Meer,knp. Amstel,0.0,roadworks,a
3433,266642208.0,2021-03-25 03:59:00,A12,a,Waddinxveen,Waddinxveen,closed,De afrit is dicht. Van 24 maart 2021 23:59 uur tot 25 maart 2021 05:00 uur.,2021-03-24 22:59:00,2021-03-25 04:00:00,1.0,52.0204,4.64255,52.0204,4.64255,3020.0,Den Haag,Utrecht,0.0,roadworks,a
3434,266642113.0,2021-03-25 03:59:00,A12,a,afrit Beek,afrit Beek,closed,De afrit is dicht. Van 24 maart 2021 21:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 20:00:00,2021-03-25 04:00:00,0.0,51.90781,6.15371,51.90781,6.15371,3022.0,Duitse grens,Arnhem,0.0,roadworks,a
3435,266641044.0,2021-03-25 03:59:00,N9,n,Schoorl,Bergen,closed,Dicht. Van 24 maart 2021 23:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 22:00:00,2021-03-25 04:00:00,0.0,52.7102,4.71338,52.66092,4.74321,3464.0,Den Helder,Alkmaar,3.0,roadworks,n
3436,266641112.0,2021-03-25 03:59:00,N36,n,Aadorp,Aadorp,closed,Dicht. Van 24 maart 2021 20:50 uur tot 25 maart 2021 05:00 uur.,2021-03-24 19:50:00,2021-03-25 04:00:00,2.0,52.3882,6.61927,52.3882,6.61927,5040.0,Almelo,Ommen,3.0,roadworks,n
3437,2666411120.0,2021-03-25 03:59:00,N36,n,Aadorp,Aadorp,closed,Dicht. Van 24 maart 2021 20:50 uur tot 25 maart 2021 05:00 uur.,2021-03-24 19:50:00,2021-03-25 04:00:00,2.0,52.3882,6.61927,52.3882,6.61927,5040.0,Ommen,Almelo,3.0,roadworks,n
3438,266640922.0,2021-03-25 03:59:00,A73,a,Beesel,Beesel,closed,Oprit dicht. Van 24 maart 2021 20:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 19:00:00,2021-03-25 04:00:00,0.0,51.26335,6.06831,51.26335,6.06831,3410.0,Nijmegen,Maasbracht,0.0,roadworks,a
3439,266642465.0,2021-03-25 03:59:00,A27,a,Nieuwegein,Nieuwegein,closed,De afrit is dicht. Van 24 maart 2021 21:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 20:00:00,2021-03-25 04:00:00,0.0,52.01349,5.12029,52.01349,5.12029,3173.0,Utrecht,Gorinchem,0.0,roadworks,a
3440,266717835.0,2021-03-25 03:59:00,A30,a,Lunteren,Lunteren,closed,De oprit is dicht. Van 24 maart 2021 21:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 20:00:00,2021-03-25 04:00:00,1.0,52.08725,5.59641,52.08725,5.59641,3220.0,Ede,Barneveld,0.0,roadworks,a
3441,266718107.0,2021-03-25 03:59:00,A44,a,Oegstgeest,Oegstgeest,closed,De oprit is dicht. Van 24 maart 2021 21:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 20:00:00,2021-03-25 04:00:00,0.0,52.17911,4.45772,52.17911,4.45772,3321.0,Amsterdam,Den Haag,0.0,roadworks,a
3442,266581699.0,2021-03-25 03:59:00,A7,a,knp. Zaandam,knp. Zaandam,closed,Dicht. Van 24 maart 2021 21:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 20:00:00,2021-03-25 04:00:00,1.0,52.45566,4.84141,52.45566,4.84141,3400.0,Zaanstad,Hoorn,0.0,roadworks,a
3443,266640819.0,2021-03-25 03:59:00,A2,a,Weert-Noord,Weert-Noord,closed,Oprit dicht. Van 24 maart 2021 20:00 uur tot 25 maart 2021 05:00 uur.,2021-03-24 19:00:00,2021-03-25 04:00:00,1.0,51.2763,5.66674,51.2763,5.66674,3102.0,Maastricht,Eindhoven,0.0,roadworks,a
3444,266581297.0,2021-03-25 03:59:00,A4,a,Den Haag-Zuid,Den Haag-Zuid,closed,Oprit dicht. Van 23 maart 2021 tot 25 maart 2021 dagelijks tussen 21:00 uur en 05:00 uur.,2021-03-23 20:00:00,2021-03-25 04:00:00,1.0,52.01364,4.31323,52.01364,4.31323,3301.0,Rotterdam,Den Haag,0.0,roadworks,a
3445,266287264.0,2021-03-25 16:53:00,A67,a,Eersel,Hapert,closed,Dicht. Van 30 maart 2021 21:00 uur tot 31 maart 2021 05:00 uur.,2021-03-30 19:00:00,2021-03-31 03:00:00,0.0,51.37196,5.32201,51.34913,5.27144,3391.0,Eindhoven,Belgische grens,0.0,roadworks,a
3446,266715708.0,2021-03-25 22:29:00,A1,a,Stroe,Stroe,closed,Oprit dicht. Van 25 maart 2021 21:00 uur tot 25 maart 2021 23:30 uur.,2021-03-25 20:00:00,2021-03-25 22:30:00,0.0,52.19165,5.70158,52.19165,5.70158,3001.0,Apeldoorn,Amersfoort,0.0,roadworks,a
3447,266716240.0,2021-03-25 23:29:00,A1,a,afrit Voorst,afrit Voorst,closed,Afrit dicht. Van 25 maart 2021 21:30 uur tot 26 maart 2021 00:30 uur.,2021-03-25 20:30:00,2021-03-25 23:30:00,0.0,52.19796,6.04764,52.19796,6.04764,3002.0,Hengelo,Apeldoorn,0.0,roadworks,a
3448,266716909.0,2021-03-25 23:59:00,A12,a,Zoetermeer,Zoetermeer,closed,De oprit is dicht. Van 25 maart 2021 21:00 uur tot 26 maart 2021 01:00 uur.,2021-03-25 20:00:00,2021-03-26 00:00:00,0.0,52.04451,4.50887,52.04451,4.50887,3020.0,Utrecht,Den Haag,0.0,roadworks,a
3449,266817919.0,2021-03-26 02:59:00,A28,a,knp. Hoevelaken,knp. Hoevelaken,,Wegwerkzaamheden. Van 25 maart 2021 21:30 uur tot 26 maart 2021 04:00 uur.,2021-03-25 20:30:00,2021-03-26 03:00:00,1.0,52.17581,5.42832,52.17581,5.42832,3191.0,Amersfoort,Zwolle,0.0,roadworks,a
3450,266717073.0,2021-03-26 03:59:00,A15,a,Tiel-West,Tiel-West,closed,De afrit is dicht. Van 25 maart 2021 21:00 uur tot 26 maart 2021 05:00 uur.,2021-03-25 20:00:00,2021-03-26 04:00:00,0.0,51.89192,5.3831,51.89192,5.3831,3057.0,Nijmegen,Gorinchem,0.0,roadworks,a
3451,266818408.0,2021-03-26 03:59:00,A29,a,de Volkerakbrug,de Volkerakbrug,closed,Dicht. Van 25 maart 2021 22:00 uur tot 26 maart 2021 05:00 uur.,2021-03-25 21:00:00,2021-03-26 04:00:00,2.0,51.69224,4.40282,51.69224,4.40282,3210.0,Bergen op Zoom,Rotterdam,0.0,roadworks,a
3452,266642523.0,2021-03-26 03:59:00,A28,a,afrit Ommen,afrit Ommen,closed,Oprit dicht. Van 24 maart 2021 tot 26 maart 2021 dagelijks tussen 20:00 uur en 05:00 uur.,2021-03-24 19:00:00,2021-03-26 04:00:00,0.0,52.53207,6.15235,52.53207,6.15235,3192.0,Groningen,Zwolle,0.0,roadworks,a
