Id|Budget|Revenue|Title|CastSize|CrewSize|DirectorPopularity|CastPopularity|Release|Genre|Collection|AvgCastPopularity
549|2981025.5|2986623.0|Basquiat|21.0|29.0|1.96|297.101|1996-08-09|Drama|False|14.147666666666666
550|64000000.0|100837350.0|Fight Club|79.0|175.0|14.831|429.724|1999-10-15|Drama|False|5.439544303797468
551|5000000.0|84563118.0|The Poseidon Adventure|22.0|41.0|5.935|180.136|1972-12-13|Action|True|8.188
553|10000000.0|16680836.0|Dogville|31.0|49.0|10.025|300.477|2003-05-19|Crime|True|9.692806451612903
557|139000000.0|821707463.0|Spider-Man|89.0|203.0|11.787|588.704|2002-05-01|Fantasy|True|6.614651685393258
558|200000000.0|789231949.0|Spider-Man 2|90.0|215.0|11.787|730.85|2004-06-25|Action|True|8.120555555555557
559|258000000.0|892865928.0|Spider-Man 3|123.0|93.0|11.787|681.184|2007-05-01|Fantasy|True|5.538081300813008
561|87500000.0|226239141.0|Constantine|34.0|344.0|6.601|291.854|2005-02-08|Fantasy|False|8.583941176470589
562|28000000.0|140101151.0|Die Hard|62.0|77.0|6.53|274.794|1988-07-15|Action|True|4.43216129032258
563|102500000.0|121157188.5|Starship Troopers|59.0|445.0|6.109|440.623|1997-11-07|Adventure|True|7.468186440677966
564|80000000.0|416135488.0|The Mummy|25.0|153.0|3.988|203.359|1999-04-16|Adventure|True|8.134360000000001
565|48000000.0|248783709.5|The Ring|35.0|166.0|7.053|282.688|2002-10-18|Horror|True|8.0768
567|1000000.0|37034514.0|Rear Window|40.0|21.0|14.734|161.929|1954-09-01|Thriller|False|4.048225
568|58500000.0|345520102.0|Apollo 13|87.0|327.0|12.114|518.932|1995-06-30|Drama|False|5.964735632183908
571|2500000.0|11500000.0|The Birds|18.0|20.0|14.734|123.405|1963-03-28|Horror|True|6.855833333333333
573|3500000.0|12600000.0|Frenzy|20.0|12.0|14.734|104.317|1972-04-14|Crime|False|5.21585
574|2500000.0|10250000.0|The Man Who Knew Too Much|68.0|43.0|14.734|230.102|1956-05-16|Crime|False|3.3838529411764706
576|6122043.5|574032.5|The Wild Bunch|44.0|42.0|7.2|208.86|1969-06-17|Adventure|False|4.746818181818182
577|20000000.0|24486629.0|To Die For|47.0|68.0|5.706|292.688|1995-09-22|Drama|False|6.227404255319149
578|9500000.0|470676500.0|Jaws|30.0|36.0|36.07|189.707|1975-06-20|Horror|True|6.323566666666666
579|20000000.0|198392191.5|Jaws 2|24.0|24.0|5.023|116.569|1978-06-16|Horror|True|4.8570416666666665
580|23000000.0|51881013.0|Jaws: The Revenge|30.0|20.0|7.813|161.378|1987-07-17|Adventure|True|5.379266666666666
581|22000000.0|424208848.0|Dances with Wolves|51.0|148.0|28.662|207.579|1990-03-30|Adventure|False|4.070176470588235
582|2000000.0|70000000.0|The Lives of Others|34.0|43.0|4.978|134.616|2006-03-15|Drama|False|3.959294117647059
583|4000000.0|20634112.0|Life of Brian|22.0|49.0|4.513|91.205|1979-08-17|Comedy|False|4.145681818181818
584|76000000.0|236380634.0|2 Fast 2 Furious|31.0|156.0|5.091|286.447|2003-06-05|Action|True|9.240225806451614
585|115000000.0|570095728.5|Monsters, Inc.|53.0|427.0|9.836|369.879|2001-11-01|Animation|True|6.9788490566037735
586|15000000.0|64254275.5|Wag the Dog|89.0|43.0|5.167|417.414|1997-12-25|Comedy|False|4.690044943820225
587|70000000.0|123586373.5|Big Fish|43.0|170.0|17.552|321.413|2003-12-25|Adventure|False|7.474720930232558
588|50000000.0|97654681.0|Silent Hill|50.0|101.0|3.576|222.696|2006-04-21|Horror|True|4.45392
590|25000000.0|69314149.0|The Hours|24.0|18.0|4.891|261.484|2002-12-27|Drama|False|10.895166666666666
591|125000000.0|767820459.0|The Da Vinci Code|58.0|286.0|12.114|340.708|2006-05-17|Thriller|True|5.874275862068966
592|1600000.0|4471371.0|The Conversation|16.0|35.0|12.975|133.08499|1974-04-07|Crime|False|8.317811875
594|67500000.0|219045607.0|The Terminal|29.0|69.0|36.07|274.56|2004-06-17|Comedy|False|9.467586206896552
595|2000000.0|13129846.0|To Kill a Mockingbird|69.0|37.0|2.272|217.647|1962-12-20|Crime|False|3.154304347826087
596|800000.0|1591000.0|The Grapes of Wrath|116.0|29.0|10.227|289.281|1940-03-15|Drama|False|2.493801724137931
597|200000000.0|2197725244.5|Titanic|117.0|158.0|14.901|554.307|1997-11-18|Drama|False|4.737666666666667
598|3300000.0|30641770.0|City of God|28.0|36.0|5.925|141.79199|2002-02-05|Drama|False|5.0639996428571425
599|1752000.0|5000000.0|Sunset Boulevard|70.0|44.0|9.911|186.943|1950-08-10|Drama|False|2.670614285714286
600|30000000.0|45686837.5|Full Metal Jacket|63.0|41.0|12.839|218.921|1987-06-26|Drama|False|3.474936507936508
601|10500000.0|792964236.0|E.T. the Extra-Terrestrial|35.0|67.0|36.07|189.584|1982-06-11|Science Fiction|False|5.416685714285714
602|75000000.0|817400884.5|Independence Day|119.0|85.0|6.605|628.896|1996-06-25|Action|True|5.284840336134454
603|64000000.0|464745790.5|The Matrix|37.0|168.0|10.4|298.771|1999-03-30|Action|True|8.074891891891893
604|150000000.0|738588315.0|The Matrix Reloaded|80.0|210.0|10.4|558.34503|2003-05-15|Adventure|True|6.979312875
605|150000000.0|426144235.5|The Matrix Revolutions|49.0|151.0|10.4|464.346|2003-11-05|Adventure|True|9.476448979591837
606|29500000.0|193355032.5|Out of Africa|32.0|26.0|11.11|130.809|1985-12-20|History|False|4.08778125
607|90000000.0|588590539.0|Men in Black|67.0|302.0|6.933|504.621|1997-07-02|Action|True|7.53165671641791
608|140000000.0|445135288.0|Men in Black II|92.0|464.0|6.933|539.475|2002-07-03|Action|True|5.8638586956521745
609|10700000.0|121953009.5|Poltergeist|24.0|29.0|6.786|154.454|1982-06-04|Horror|True|6.435583333333334
612|72500000.0|131237450.5|Munich|123.0|172.0|36.07|483.798|2005-12-23|Drama|False|3.933317073170732
613|18339750.0|92180910.0|Downfall|63.0|60.0|2.43|282.671|2004-09-16|Drama|False|4.486841269841269
615|27500000.0|617106527.5|The Passion of the Christ|75.0|273.0|28.512|281.22202|2004-02-25|Drama|False|3.749626933333333
616|140000000.0|456784778.0|The Last Samurai|48.0|29.0|5.904|252.537|2003-12-05|Drama|False|5.2611875
617|20000000.0|61388349.5|Wild Things|36.0|22.0|4.387|261.32098|1998-03-20|Mystery|True|7.258916111111112
618|105000.0|11000000.0|The Birth of a Nation|48.0|54.0|4.539|118.333|1915-02-08|Drama|False|2.4652708333333333
619|25000000.0|410976230.0|The Bodyguard|36.0|127.0|5.428|218.177|1992-11-25|Thriller|False|6.060472222222222
620|30000000.0|295891703.0|Ghostbusters|77.0|36.0|9.532|357.929|1984-06-08|Comedy|True|4.648428571428571
621|6000000.0|284643043.5|Grease|49.0|45.0|5.783|250.862|1978-07-07|Romance|True|5.119632653061224
622|38000000.0|58401898.0|The Ninth Gate|23.0|103.0|9.894|195.445|1999-08-25|Mystery|False|8.497608695652174
623|7500000.0|62493712.0|A Fish Called Wanda|27.0|54.0|6.671|135.923|1988-07-15|Comedy|False|5.034185185185185
624|360000.0|60000000.0|Easy Rider|49.0|17.0|15.825|174.672|1969-06-26|Adventure|True|3.564734693877551
625|15200000.0|34655005.5|The Killing Fields|29.0|17.0|2.913|101.828|1984-11-23|Drama|False|3.5113103448275864
627|4000000.0|16491080.0|Trainspotting|24.0|57.0|7.791|205.972|1996-02-23|Drama|True|8.582166666666668
628|55000000.0|223614608.0|Interview with the Vampire|19.0|22.0|6.652|237.8|1994-11-11|Horror|True|12.515789473684212
629|6000000.0|28895462.0|The Usual Suspects|25.0|73.0|10.57|213.226|1995-07-19|Drama|False|8.52904
630|2777000.0|34352224.5|The Wizard of Oz|21.0|54.0|4.597|85.384|1939-08-15|Adventure|True|4.065904761904762
634|25000000.0|279916084.0|Bridget Jones's Diary|42.0|129.0|4.318|264.224|2001-04-13|Comedy|True|6.291047619047619
635|17000000.0|17185632.0|Angel Heart|20.0|78.0|2.811|147.035|1987-03-06|Horror|False|7.35175
636|777000.0|2437000.0|THX 1138|44.0|16.0|13.868|113.75|1971-03-11|Science Fiction|False|2.585227272727273
637|20000000.0|230098753.0|Life Is Beautiful|24.0|26.0|8.887|102.992|1997-12-20|Comedy|False|4.291333333333333
638|15000000.0|3675201.0|Lost Highway|47.0|77.0|19.221|295.301|1997-01-15|Drama|False|6.2829999999999995
639|16000000.0|92823546.0|When Harry Met Sally...|44.0|18.0|9.876|145.935|1989-01-12|Comedy|False|3.3167045454545456
640|52000000.0|352114312.0|Catch Me If You Can|128.0|111.0|36.07|603.968|2002-12-25|Drama|False|4.7185
641|4500000.0|7389670.5|Requiem for a Dream|74.0|27.0|5.137|348.914|2000-10-06|Crime|False|4.715054054054054
642|6000000.0|102308889.0|Butch Cassidy and the Sundance Kid|22.0|30.0|2.385|176.738|1969-01-15|Western|True|8.033545454545454
644|100000000.0|235926552.0|A.I. Artificial Intelligence|76.0|179.0|36.07|515.918|2001-06-29|Drama|False|6.788394736842105
646|950000.0|59600000.0|Dr. No|27.0|43.0|6.614|130.409|1962-10-07|Adventure|True|4.829962962962963
650|6500000.0|56859582.0|Boyz n the Hood|18.0|22.0|5.091|153.481|1991-07-12|Drama|False|8.526722222222222
651|3500000.0|81600000.0|M*A*S*H|28.0|15.0|6.445|205.72|1970-02-18|Comedy|False|7.347142857142857
652|162500000.0|490280946.0|Troy|36.0|279.0|7.78|372.466|2004-05-03|Adventure|False|10.346277777777779
654|910000.0|9600000.0|On the Waterfront|22.0|20.0|2.611|144.311|1954-06-22|Crime|False|6.559590909090909
655|1746964.0|2181987.0|Paris, Texas|19.0|56.0|10.171|87.627|1984-08-23|Drama|False|4.611947368421053
657|2000000.0|78898765.0|From Russia with Love|43.0|36.0|6.614|182.803|1963-10-10|Action|True|4.2512325581395345
658|2500000.0|124881062.0|Goldfinger|44.0|36.0|4.607|163.117|1964-09-20|Adventure|True|3.707204545454545
660|7250000.0|141197829.0|Thunderball|28.0|44.0|6.614|158.877|1965-12-11|Adventure|True|5.6741785714285715
663|10000000.0|137556163.5|Saw IV|48.0|78.0|5.018|356.302|2007-10-25|Horror|True|7.422958333333334
664|90000000.0|495085762.0|Twister|41.0|143.0|8.911|337.217|1996-05-10|Action|False|8.22480487804878
665|15000000.0|118629508.5|Ben-Hur|59.0|50.0|4.708|228.36|1959-11-18|Action|False|3.8705084745762712
666|2900000.0|5596708.0|Central Station|20.0|42.0|6.887|46.583|1998-11-20|Drama|False|2.32915
667|9500000.0|111592393.5|You Only Live Twice|31.0|21.0|4.688|141.475|1967-06-13|Action|True|4.563709677419355
