# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# RHX       : Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# RHXH      : Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
# STN,YYYYMMDD,  RHX, RHXH
  370,20180912,   10,   22
  370,20180913,    1,    1
  370,20180914,    0,    1
  370,20180915,    0,    1
  370,20180916,    0,    1
  370,20180917,    0,    1
  370,20180918,    0,    1
  370,20180919,    0,    1
  370,20180920,    0,    1
  370,20180921,    6,    8
  370,20180922,    7,   16
  370,20180923,   46,   12
  370,20180924,    4,    8
  370,20180925,    0,    1
  370,20180926,    0,    1
  370,20180927,    0,    1
  370,20180928,    0,    1
  370,20180929,    0,    1
  370,20180930,    3,   22
  370,20181001,    6,    5
  370,20181002,    2,    9
  370,20181003,    0,    1
  370,20181004,    0,    1
  370,20181005,    0,    1
  370,20181006,   -1,    1
  370,20181007,    0,    1
  370,20181008,    0,    1
  370,20181009,    0,    1
  370,20181010,    0,    1
  370,20181011,   -1,    1
  370,20181012,    3,    1
  370,20181013,    0,    1
  370,20181014,    0,    1
  370,20181015,    0,    1
  370,20181016,    0,    1
  370,20181017,    0,    1
  370,20181018,   -1,    1
  370,20181019,    0,    1
  370,20181020,    0,    1
  370,20181021,    0,    1
  370,20181022,    1,    6
  370,20181023,    0,    1
  370,20181024,    4,    7
  370,20181025,   -1,    1
  370,20181026,    7,   16
  370,20181027,    5,    1
  370,20181028,    0,    1
  370,20181029,    3,   24
  370,20181030,   85,    3
  370,20181031,    0,    1
  370,20181101,    9,   16
  370,20181102,   15,    3
  370,20181103,    0,    1
  370,20181104,    0,    1
  370,20181105,    0,    1
  370,20181106,    0,    1
  370,20181107,    9,   15
  370,20181108,    0,    1
  370,20181109,    0,    1
  370,20181110,   15,   14
  370,20181111,   21,   15
  370,20181112,   16,    9
  370,20181113,   28,   10
  370,20181114,    0,    1
  370,20181115,    0,    1
  370,20181116,    0,    1
  370,20181117,    0,    1
  370,20181118,    0,    1
  370,20181119,    1,   13
  370,20181120,    0,    1
  370,20181121,    3,    6
  370,20181122,    0,    1
  370,20181123,    0,    1
  370,20181124,   -1,    1
  370,20181125,   -1,    1
  370,20181126,    6,    4
  370,20181127,    0,    1
  370,20181128,    4,   10
  370,20181129,    8,    2
  370,20181130,   -1,    1
  370,20181201,    5,   15
  370,20181202,   30,   10
  370,20181203,   85,    3
  370,20181204,    3,    8
  370,20181205,    2,   15
  370,20181206,    4,    5
  370,20181207,   20,   16
  370,20181208,   29,   20
  370,20181209,   38,    6
  370,20181210,   14,   12
  370,20181211,    4,   16
  370,20181212,    0,    1
  370,20181213,    0,    1
  370,20181214,    0,    1
  370,20181215,   20,   24
  370,20181216,    8,    1
  370,20181217,    6,    5
  370,20181218,    0,    1
  370,20181219,    3,    6
  370,20181220,    4,   21
  370,20181221,   28,    8
  370,20181222,   11,    3
  370,20181223,   14,   11
  370,20181224,   -1,    1
  370,20181225,    0,    1
  370,20181226,    0,    1
  370,20181227,    0,    1
  370,20181228,    0,    1
  370,20181229,    2,   16
  370,20181230,    3,   17
  370,20181231,    2,   24
  370,20190101,    4,   13
  370,20190102,   -1,    1
  370,20190103,    0,    1
  370,20190104,    3,    7
  370,20190105,    2,   17
  370,20190106,   -1,    1
  370,20190107,   24,   22
  370,20190108,    8,    7
  370,20190109,    1,    4
  370,20190110,    4,   20
  370,20190111,    8,   12
  370,20190112,    9,   14
  370,20190113,   36,   19
  370,20190114,   12,    5
  370,20190115,   -1,    1
  370,20190116,    8,   24
  370,20190117,   22,   10
  370,20190118,    0,    1
  370,20190119,    0,    1
  370,20190120,    0,    1
  370,20190121,    0,    1
  370,20190122,    8,   14
  370,20190123,    0,    1
  370,20190124,    0,    1
  370,20190125,    5,   20
  370,20190126,   12,   24
  370,20190127,   17,   13
  370,20190128,   23,    2
  370,20190129,   -1,    1
  370,20190130,    7,   16
  370,20190131,   -1,    1
  370,20190201,   11,    3
  370,20190202,   18,   10
  370,20190203,   -1,    1
  370,20190204,    3,   21
  370,20190205,    1,    1
  370,20190206,   13,   24
  370,20190207,   10,    1
  370,20190208,   10,   22
  370,20190209,    1,    9
  370,20190210,   30,   24
  370,20190211,    3,    1
  370,20190212,    0,    1
  370,20190213,    0,    1
  370,20190214,    0,    1
  370,20190215,    0,    1
  370,20190216,    0,    1
  370,20190217,    0,    1
  370,20190218,    0,    1
  370,20190219,   -1,    1
  370,20190220,    0,    1
  370,20190221,   -1,    1
  370,20190222,    0,    1
  370,20190223,    0,    1
  370,20190224,    0,    1
  370,20190225,    0,    1
  370,20190226,    0,    1
  370,20190227,    0,    1
  370,20190228,   12,   24
  370,20190301,   23,    2
  370,20190302,    3,   17
  370,20190303,   10,    4
  370,20190304,   18,    7
  370,20190305,    9,    2
  370,20190306,    2,    1
  370,20190307,   28,    6
  370,20190308,    9,   24
  370,20190309,   11,    1
  370,20190310,   15,    5
  370,20190311,   11,    9
  370,20190312,   10,   20
  370,20190313,   30,   14
  370,20190314,   17,   10
  370,20190315,   14,   16
  370,20190316,   24,    5
  370,20190317,   20,    6
  370,20190318,    4,    7
  370,20190319,    0,    1
  370,20190320,   -1,    1
  370,20190321,    0,    1
  370,20190322,    0,    1
  370,20190323,   -1,    1
  370,20190324,    0,    1
  370,20190325,    4,   13
  370,20190326,    0,    1
  370,20190327,    0,    1
  370,20190328,    0,    1
  370,20190329,    0,    1
  370,20190330,    0,    1
  370,20190331,   -1,    1
  370,20190401,    0,    1
  370,20190402,    8,   17
  370,20190403,   -1,    1
  370,20190404,    0,    1
  370,20190405,    0,    1
  370,20190406,    0,    1
  370,20190407,    0,    1
  370,20190408,   26,   17
  370,20190409,    0,    1
  370,20190410,    0,    1
  370,20190411,    0,    1
  370,20190412,    0,    1
  370,20190413,   -1,    1
  370,20190414,    0,    1
  370,20190415,    0,    1
  370,20190416,    0,    1
  370,20190417,   -1,    1
  370,20190418,    0,    1
  370,20190419,    0,    1
  370,20190420,    0,    1
  370,20190421,    0,    1
  370,20190422,    0,    1
  370,20190423,    0,    1
  370,20190424,   35,   19
  370,20190425,    8,   15
  370,20190426,    1,   19
  370,20190427,   17,    8
  370,20190428,   -1,    1
  370,20190429,    0,    1
  370,20190430,    0,    1
  370,20190501,    0,    1
  370,20190502,   17,   14
  370,20190503,   13,   24
  370,20190504,   14,    1
  370,20190505,    6,   10
  370,20190506,   20,   13
  370,20190507,    0,    1
  370,20190508,    9,   12
  370,20190509,    5,   16
  370,20190510,   25,   14
  370,20190511,   -1,    1
  370,20190512,    0,    1
  370,20190513,    0,    1
  370,20190514,    0,    1
  370,20190515,    0,    1
  370,20190516,   -1,    1
  370,20190517,    5,   22
  370,20190518,    0,    1
